time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.78223501971e-08,2.34142176046e-07,10.0045455911,6.28269764623,6.28306264211,0.0,8.93447700981e-06,-8.34293176408e-06,0.151510913178,-0.0340374350504,-0.00648391663022,0.0,452.5138738230009,451.9917644152669,455.00840604589723,452.27579161510135
0.12000000000000001,4.90265187512e-06,-1.96066510193e-05,10.0182300444,6.28034910038,6.28272281291,0.0,0.000191876930507,-0.000891240824464,0.304608118669,-0.0520543264163,-0.00407203439367,0.0,453.82520846889287,454.0188230808785,453.7483001642838,452.2990345016094
0.18,2.9506060007e-05,-0.000161084757705,10.0447003798,6.27673947423,6.28251315254,0.0,0.000657127976205,-0.00424182426897,0.577636680479,-0.0859188635777,-0.00236320647052,0.0,488.58042570067397,488.70786138801543,490.3434998299543,487.81908194266975
0.23999999999999996,8.2365720263e-05,-0.000556962455264,10.0808136863,6.2716816605,6.2821862716,0.0,0.00112615584059,-0.00943567217019,0.626110577394,-0.0812376456233,-0.0124689360801,0.0,421.38082492586324,420.50653140280514,420.0545568676283,420.45397475634394
0.3,0.000176239059035,-0.00141002589261,10.1238426643,6.26669545497,6.28143627253,0.0,0.0020883345802,-0.0195608047924,0.808069817472,-0.0871208847408,-0.0125621529842,0.0,463.76144731786155,463.7542541626322,461.72264647175047,461.2529632255487
0.36000000000000004,0.000342967778974,-0.00296567434764,10.1765690783,6.26178536299,6.2805907598,0.0,0.00355534589959,-0.0328384766296,0.949359934375,-0.0729438084607,-0.0173415840077,0.0,451.6052453047901,451.2197324033229,449.07452385285393,450.21743968289024
0.4200000000000001,0.000616094786439,-0.00541621461845,10.2374888358,6.25734447256,6.27993296838,0.0,0.00563669735257,-0.0493140287592,1.0811715129,-0.076246556937,-0.000554829073049,0.0,447.09944434396,448.46496806311654,448.07839338921326,447.8056120753884
0.48000000000000015,0.00100618055979,-0.00879991130406,10.3006153503,6.2527520263,6.27952512579,0.0,0.0073801468837,-0.0638376879179,1.02308959224,-0.0771354280344,-0.0237762335475,0.0,385.21352102738257,383.0116446472119,385.49416867365636,385.4045585487994
0.5400000000000001,0.00154929790482,-0.0134315369304,10.3699582482,6.24845593048,6.2783102476,0.0,0.0108887776662,-0.0911036072268,1.28806032775,-0.062358863697,-0.0139900657005,0.0,487.8438764830167,488.5740157583061,486.48338210714553,487.58488724645207
0.6000000000000002,0.0023233457766,-0.0197492585123,10.4536243289,6.24509640627,6.27771273998,0.0,0.0149956106699,-0.119896814297,1.5005375287,-0.0456027806388,-0.00291698757499,0.0,473.5250961699914,474.3761811663237,471.4501431947221,472.7408825903199
0.6600000000000003,0.00332252608093,-0.027640023978,10.5440409153,6.24217205009,6.27745280098,0.0,0.018329534653,-0.143379857995,1.51332032282,-0.0558920994491,-0.0073250415247,0.0,410.6525662070705,410.261474875695,411.5069050635027,410.59343888741256
0.7200000000000003,0.00453874420236,-0.0370762798709,10.6371803278,6.23856005571,6.27685658912,0.0,0.0222610156515,-0.171500218611,1.591204406,-0.0706182476735,-0.0157523399681,0.0,433.31928162106044,432.61043995640097,432.28271456973675,431.0373440749424
0.7800000000000004,0.00601031899399,-0.0483156890304,10.7358792983,6.23439384956,6.27596966091,0.0,0.0268849063585,-0.20357347527,1.69858400918,-0.0671738870936,-0.0129091702654,0.0,441.34389220041794,441.57857825919615,442.35910734069006,442.6389353052346
0.8400000000000004,0.0078245092549,-0.0618850999609,10.8474536665,6.23001063198,6.27533562089,0.0,0.0336788072763,-0.249277328943,2.02001651713,-0.0886478166312,-0.00625285214142,0.0,506.17491036117207,506.65380097335105,504.94860363582995,503.3935884680162
0.9000000000000005,0.0100217418271,-0.0780534987076,10.9733337651,6.22473391182,6.27544448891,0.0,0.0395707408692,-0.290238693893,2.17566514547,-0.0865770608124,0.0143966354905,0.0,456.7895608801782,458.4332014501131,459.2802138518168,459.4382642631921
0.9600000000000005,0.0125845031984,-0.0969476005407,11.1110731762,6.2192124443,6.27651235923,0.0,0.0457313664737,-0.340190570512,2.41512682992,-0.106079185591,0.0238544595728,0.0,483.36135090980434,484.0734510059636,484.9425186690032,483.46888033732745
1.0200000000000005,0.0154710465947,-0.118810604954,11.2605498131,6.21289178163,6.27798779889,0.0,0.0503247143388,-0.389251377244,2.56704342346,-0.103915012111,0.0260236719072,0.0,458.88909194107833,459.0613142822881,459.22359788843914,459.3859189337659
1.0800000000000005,0.0185940740138,-0.143674848749,11.4179746881,6.20657032812,6.27959455114,0.0,0.05360967267,-0.440191851217,2.68013510375,-0.10840836596,0.0282487937939,0.0,449.04057632100375,449.2211934857113,447.0548553169067,446.6789300578057
1.1400000000000006,0.0218798301079,-0.17173810317,11.5822804464,6.19958174899,6.28155340771,0.0,0.0557219088749,-0.495924226214,2.79637663157,-0.141985834597,0.0402445386407,0.0,448.09861003707795,449.0730850019408,452.1019275922213,449.37561281193126
1.2000000000000006,0.0252430641616,-0.202976188776,11.749734105,6.19080659201,0.00132566052057,0.0,0.0561512814693,-0.546087430393,2.785358791,-0.156539366896,0.0630497757311,0.0,407.5495875458388,409.5845275161645,410.06259592586963,408.7454333071287
1.2600000000000007,0.0285640382158,-0.237970738579,11.9227765788,6.18118741677,0.00508429242181,0.0,0.0541081996875,-0.621455381551,2.98209735197,-0.16920571,0.0618198154832,0.0,475.23822161190395,475.1464959849402,475.2106701952092,474.2159608330338
